"","pre_vote_intention","pre_vote_preference","pre_feel_clinton","pre_feel_trump","pre_feel_dem","pre_feel_rep","pre_ideo_self","pre_guaranteed_job","pre_birthright_citizenship","pre_help_blacks","pre_wall_mexico","pre_enviroment","pre_troops_isis","pre_syrian_refugee","pre_climate","pre_paid_leave","post_equal_pay","post_vaccine","post_freetrade","post_bank_regulation","post_healthcare","post_feel_clinton","post_feel_trump","post_feel_christian_fundamentalists","post_feel_feminists","post_feel_liberals","post_feel_labor_unions","post_feel_poor_people","post_feel_big_business","post_feel_conservatives","post_feel_the_u.s._supreme_court","post_feel_gay_men_and_lesbians","post_feel_congress","post_feel_rich_people","post_feel_muslims","post_feel_christians","post_feel_jews","post_feel_tea_party","post_feel_police","post_feel_transgender_people","post_feel_scientists","post_feel_black_lives_matter","pre_budget_sec","pre_budget_school","pre_budget_sci","pre_budget_crime","pre_budget_welfare","pre_budget_childcare","pre_budget_poverty","pre_budget_env","religion_importance","age","edu_num","race","gender","income_group","weight"
"31","Yes","Trump",0,100,0,60,6,7,1,1,7,7,1,7,7,2,1,5,4,7,7,0,100,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0,1,-1,1,1,-1,-1,-1,-1,1,69,13,"White, non-Hispanic","Male",17,0.223
"32","No",NA,40,40,40,50,4,7,3,3,1,1,2,2,3,1,1,NA,4,5,2,60,15,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50,1,1,0,0,-1,1,1,0,1,41,13,"White, non-Hispanic","Female",11,0.483
"33","Yes","Clinton",70,15,60,40,2,4,5,7,5,5,4,3,4,3,2,1,2,3,3,60,15,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40,0,1,1,1,0,0,0,0,1,67,16,"White, non-Hispanic","Male",6,0.613
"34","Yes","Trump",0,85,15,85,3,7,2,4,6,5,1,7,4,4,2,2,7,2,7,0,100,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0,1,1,1,1,-1,-1,0,0,1,54,11,"White, non-Hispanic","Male",21,0.543
"35","Yes","Trump",100,85,60,85,4,4,4,1,99,99,1,7,4,1,1,4,2,4,4,70,85,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70,0,0,0,1,0,0,0,1,0,48,4,"Hispanic","Male",5,0.948
"36","Yes","Clinton",60,0,85,30,3,6,7,7,1,4,7,2,4,1,1,4,2,4,1,60,30,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100,1,1,1,1,1,1,1,1,1,26,10,"Black, non-Hispanic","Female",21,1.986
"37",NA,NA,30,80,40,80,6,5,6,1,7,4,NA,7,4,2,2,2,6,6,4,0,85,50,30,15,70,50,70,85,70,30,60,50,15,100,50,50,100,0,NA,0,NA,0,1,1,-1,0,0,0,1,NA,8,"White, non-Hispanic",NA,NA,1.31
"38","Yes","Trump",0,60,15,70,5,6,4,4,5,99,4,7,4,1,1,1,4,4,4,15,60,50,40,30,60,50,40,60,60,50,60,50,50,85,50,60,85,50,60,40,-1,1,1,1,0,1,1,1,1,25,11,"White, non-Hispanic","Female",9,0.215
"39","Yes","Clinton",100,0,100,0,2,99,2,6,7,1,6,7,4,1,1,1,4,1,4,100,0,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100,1,0,1,1,0,-1,1,0,1,46,13,"Black, non-Hispanic","Female",19,0.746
"40","Yes","Trump",0,100,0,100,7,7,7,1,6,6,1,7,4,1,1,1,7,4,4,0,100,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0,1,0,1,1,-1,0,0,1,1,59,11,"White, non-Hispanic","Male",14,0.685
"41","Yes","Trump",0,70,0,60,5,4,1,1,7,4,6,7,4,2,1,1,7,2,4,0,60,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2,1,1,1,-1,-1,-1,-1,0,0,39,12,"White, non-Hispanic","Female",14,0.919
"42","Yes","Clinton",85,0,60,30,2,3,6,7,4,2,1,1,2,1,1,1,3,2,3,85,0,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70,1,1,0,-1,-1,0,0,1,1,52,13,"White, non-Hispanic","Female",26,1.257
"43",NA,NA,60,60,60,60,4,3,7,6,1,3,4,2,2,2,1,4,4,4,1,30,15,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50,1,1,1,1,1,1,1,1,1,29,13,"Hispanic","Female",13,0.258
"44","Yes","Trump",0,70,30,85,NA,4,1,1,7,3,2,7,4,1,1,2,2,1,NA,0,70,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15,1,1,1,1,-1,1,-1,1,1,46,11,"White, non-Hispanic","Male",17,0.522
"45","Yes","Clinton",60,40,70,40,2,2,1,4,3,1,2,2,1,1,2,1,6,1,NA,40,30,15,50,70,70,60,15,30,60,NA,40,30,NA,30,50,30,30,50,70,50,1,1,1,1,1,1,1,1,0,45,95,"Other","Male",24,0.997
"46","Yes","Clinton",70,30,85,40,3,5,4,2,6,4,5,7,3,2,1,2,4,2,4,75,35,60,50,75,75,50,60,50,60,50,40,50,40,60,50,60,85,50,80,30,1,1,0,1,-1,1,0,0,1,61,14,"White, non-Hispanic","Female",22,0.286
"47","Yes","Trump",15,85,30,70,6,6,6,1,6,5,2,6,6,2,1,1,2,2,6,0,85,60,70,40,60,85,60,70,70,70,50,40,70,85,70,70,100,70,85,15,1,0,1,1,-1,-1,0,-1,1,55,11,"White, non-Hispanic","Male",26,0.454
"48","Yes","Clinton",85,15,70,15,2,4,6,7,3,2,4,4,2,2,1,2,3,4,2,85,0,15,85,70,50,85,50,30,60,50,15,50,50,50,50,15,50,50,85,50,0,1,1,0,0,0,1,1,0,35,16,"White, non-Hispanic","Female",27,0.601
"49","Yes","Clinton",70,30,70,60,2,5,2,3,5,1,3,5,1,1,1,1,2,4,3,60,40,NA,60,70,50,85,50,70,0,100,50,85,70,70,70,50,85,100,70,40,1,1,-1,1,-1,1,-1,1,0,24,12,"White, non-Hispanic","Female",14,1.564
"50",NA,NA,NA,NA,NA,NA,5,3,1,7,5,3,7,7,5,5,6,4,6,4,4,85,60,85,100,60,0,0,70,15,60,40,100,100,50,85,30,85,40,50,15,50,0,0,0,0,0,0,0,0,0,85,2,"Hispanic","Female",6,0.446
"51","Yes","Clinton",85,0,85,15,4,4,7,7,2,1,7,3,1,7,1,1,3,4,7,85,0,NA,50,50,30,85,40,50,50,50,30,40,NA,40,NA,40,40,NA,70,NA,1,1,1,1,0,1,1,1,1,61,13,"Hispanic","Male",1,0.338
"52","Yes","Clinton",85,0,70,15,2,5,7,7,2,2,7,1,2,1,1,2,4,2,2,70,15,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70,1,1,1,1,0,1,1,1,1,52,13,"White, non-Hispanic","Female",19,0.59
"53",NA,NA,40,70,30,70,4,5,4,2,5,2,4,7,1,2,2,1,4,4,1,40,60,50,50,50,30,60,50,60,20,50,20,50,20,50,50,NA,70,50,60,50,1,1,1,1,1,1,1,1,0,56,9,"White, non-Hispanic","Male",14,1.03
"54","Yes","Clinton",70,0,85,30,4,4,4,4,3,99,6,NA,NA,1,1,NA,3,2,2,70,40,85,NA,85,85,100,70,70,70,85,50,70,85,100,85,40,85,85,85,85,1,1,1,1,NA,1,1,NA,1,68,10,"Black, non-Hispanic","Male",NA,0.526
"55","Yes","Clinton",85,0,85,40,NA,1,1,7,4,1,7,7,NA,1,1,2,6,2,1,100,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75,1,1,1,1,1,1,1,1,1,76,10,"Black, non-Hispanic","Female",7,1.238
"56","Yes",NA,50,50,50,50,NA,1,4,6,1,1,4,4,4,1,1,4,4,4,3,50,60,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50,0,0,1,1,-1,1,0,0,1,31,13,"White, non-Hispanic","Male",17,0.579
"57","Yes",NA,30,40,30,50,4,5,6,6,5,2,3,3,4,1,1,1,4,4,4,15,30,50,60,50,50,60,50,70,50,50,40,50,100,100,100,50,100,30,85,60,0,1,1,1,-1,0,0,0,1,19,13,"White, non-Hispanic","Female",27,0.668
"58",NA,NA,85,0,85,30,2,3,6,7,1,3,2,1,2,1,1,1,2,1,2,85,15,15,85,85,70,85,50,40,70,100,40,40,85,70,85,40,85,100,85,85,1,1,0,1,1,1,1,1,1,57,14,"White, non-Hispanic","Male",27,4.901
"59",NA,NA,0,60,40,40,3,5,4,7,6,99,3,7,4,1,1,1,4,3,1,15,50,70,50,50,70,60,70,50,50,50,40,50,50,85,50,30,100,50,85,60,1,1,1,1,0,1,1,1,1,27,9,"White, non-Hispanic","Female",11,1.604
"60","Yes",NA,60,40,60,40,NA,5,2,4,7,1,7,7,2,4,1,3,6,4,2,40,60,60,85,50,40,85,30,85,70,70,60,50,50,60,40,50,100,40,100,30,1,1,0,-1,-1,1,1,1,0,32,9,"White, non-Hispanic","Female",3,0.491
"61","Yes","Clinton",60,15,70,30,2,4,7,7,2,1,4,2,1,2,1,1,4,1,4,70,10,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85,1,1,1,-1,1,1,1,1,0,45,12,"White, non-Hispanic","Male",13,0.337
"62","Yes","Clinton",85,0,60,50,NA,2,7,7,3,99,7,4,4,7,1,4,4,4,3,85,0,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50,0,-1,-1,0,-1,1,0,-1,0,50,7,"Hispanic","Female",8,0.482
"63","Yes","Clinton",85,15,85,15,NA,99,7,7,99,5,7,7,4,1,1,1,4,4,1,70,30,50,60,70,50,85,15,60,85,0,60,50,50,70,50,0,85,0,100,60,1,1,1,1,1,1,1,1,1,68,14,"Black, non-Hispanic","Female",18,0.502
"64","Yes","Clinton",85,0,70,15,NA,4,7,7,5,2,1,2,4,1,1,2,4,1,3,85,0,30,70,40,70,85,60,30,70,50,15,70,50,70,70,0,85,NA,85,30,1,1,1,1,1,1,1,1,1,60,10,"Other","Male",20,1.469
"65","Yes","Clinton",60,15,70,40,2,99,7,7,3,3,6,2,1,1,1,1,4,1,2,70,0,30,100,100,70,100,30,30,40,100,50,50,100,50,100,60,85,100,100,100,1,1,0,0,1,1,1,1,0,36,13,"Hispanic","Female",3,0.211
"66",NA,NA,60,0,85,30,NA,99,7,4,99,3,3,2,2,2,1,5,3,4,3,85,0,50,85,85,85,85,70,85,70,85,60,85,85,85,85,50,85,85,85,85,1,1,0,1,0,-1,0,1,0,27,7,"Hispanic","Female",4,1.062
"67","Yes","Clinton",70,0,50,85,4,6,7,7,7,2,1,7,6,1,2,4,6,4,7,85,30,85,70,70,60,85,70,85,70,50,70,70,50,100,30,60,85,50,50,50,1,1,1,1,1,1,1,1,1,NA,9,"Asian, native Hawaiian or other Pacif Islr,non-Hispanic","Male",12,0.588
"68","Yes","Trump",0,8,30,60,6,7,6,2,NA,99,3,7,4,1,1,1,6,7,6,15,85,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85,0,0,1,1,-1,0,NA,-1,1,46,10,"White, non-Hispanic","Female",23,0.311
"69","Yes","Clinton",75,20,30,15,3,3,1,7,2,2,3,1,1,1,1,4,1,1,2,50,40,15,85,60,60,100,30,85,70,85,60,50,85,70,85,15,85,100,70,70,-1,1,1,-1,0,0,1,1,1,35,10,"White, non-Hispanic","Male",15,0.55
"70",NA,NA,40,40,50,50,NA,6,3,6,6,1,7,4,2,1,1,3,4,4,3,30,60,50,40,50,50,50,40,50,50,50,50,50,50,60,50,50,70,50,50,50,1,1,1,-1,-1,-1,1,1,1,44,9,"White, non-Hispanic","Female",9,1.364
"71","Yes","Clinton",85,0,100,0,4,5,5,5,5,5,7,7,2,1,7,4,5,1,2,100,0,50,30,0,70,NA,40,NA,85,70,85,30,70,NA,NA,NA,100,70,85,85,1,1,1,1,-1,1,1,1,1,78,9,"Black, non-Hispanic","Female",4,1.037
"72","Yes",NA,70,70,75,75,6,1,7,7,7,2,4,4,4,NA,2,1,3,4,1,100,15,70,80,NA,80,90,50,85,70,60,70,50,30,90,80,NA,70,80,90,NA,0,1,0,0,1,1,0,0,1,65,12,"Hispanic","Female",1,0.28
"73","Yes","Clinton",60,0,70,50,NA,5,7,7,99,2,1,4,1,7,1,4,1,4,4,50,0,60,40,60,70,70,30,60,70,30,50,40,70,70,70,50,50,15,70,60,1,1,1,1,0,1,1,1,1,55,9,"White, non-Hispanic","Male",11,1.855
"74","Yes","Clinton",60,15,85,0,6,1,7,7,1,1,1,7,7,1,1,6,1,1,4,85,0,30,80,NA,100,60,60,60,70,100,30,100,30,50,100,NA,30,100,100,100,1,1,0,1,1,1,1,1,1,69,13,"Hispanic","Female",12,0.34
"75","Yes","Clinton",50,0,40,30,4,5,7,6,4,NA,6,6,2,4,1,2,1,4,2,50,15,15,60,60,60,70,60,30,40,85,30,60,70,60,70,40,60,70,85,85,0,1,1,1,0,1,0,1,0,55,13,"Black, non-Hispanic","Male",26,0.432
"76","No",NA,50,10,75,10,3,3,6,7,5,2,6,4,2,2,2,NA,3,1,4,60,15,30,70,60,50,50,40,40,50,70,40,50,50,50,50,50,60,60,70,50,1,0,1,-1,1,0,1,1,0,31,13,"White, non-Hispanic","Male",3,0.922
"77","Yes","Clinton",40,0,60,30,2,4,4,4,3,3,4,4,2,1,1,1,4,2,1,30,0,50,60,70,30,70,30,50,60,85,15,50,60,100,85,40,85,85,85,70,1,1,1,1,0,1,0,1,1,68,14,"White, non-Hispanic","Male",12,0.578
"78","Yes","Trump",0,60,15,15,NA,4,3,4,5,4,2,7,5,1,1,1,2,3,4,15,60,70,40,60,70,85,40,60,70,85,40,70,70,85,85,70,70,85,70,40,0,0,0,1,-1,1,0,0,1,42,16,"White, non-Hispanic","Male",25,1.192
"79","Yes","Trump",15,85,50,100,5,5,7,1,5,4,2,7,4,1,1,2,2,2,7,0,100,70,60,40,50,50,85,70,85,50,50,100,50,100,100,70,70,50,60,30,1,1,1,1,1,1,1,1,1,82,9,"White, non-Hispanic","Female",15,0.837
"80","Yes","Clinton",85,0,85,0,2,5,7,1,2,3,2,7,1,1,1,2,2,4,2,85,0,85,50,85,50,85,50,0,50,50,40,50,50,100,50,50,50,50,50,100,1,1,1,0,1,1,1,1,1,42,12,"Black, non-Hispanic","Female",1,1.599
"81","Yes","Clinton",90,0,95,10,2,3,6,5,99,1,5,3,1,1,1,1,2,2,2,100,30,100,50,100,50,50,50,40,50,85,50,85,50,100,50,15,100,50,100,50,0,1,1,0,0,1,1,1,1,30,10,"White, non-Hispanic","Male",24,0.368
"82","Yes","Trump",0,40,40,40,5,6,6,4,5,6,4,4,6,1,2,1,4,3,6,30,50,50,40,40,60,50,30,50,40,50,50,50,50,85,50,50,70,50,50,40,1,1,1,1,-1,-1,-1,-1,1,23,13,"Other","Female",15,1.145
"83","Yes",NA,60,30,50,60,5,5,4,7,4,3,2,6,4,4,1,1,6,2,4,60,50,50,50,60,30,70,40,60,60,50,40,50,50,70,60,50,70,40,70,50,0,1,1,1,-1,1,0,0,1,51,9,"White, non-Hispanic","Male",22,0.941
"84",NA,NA,50,50,40,40,4,99,4,7,7,6,4,4,NA,4,1,2,2,4,7,50,70,50,40,55,60,60,50,50,60,50,0,40,50,85,50,40,85,50,70,40,0,0,0,0,-1,-1,-1,0,NA,66,14,"White, non-Hispanic","Female",14,0.299
"85","Yes","Trump",15,70,30,70,6,4,4,4,6,99,4,4,4,1,4,1,4,4,4,30,70,85,40,40,70,70,40,85,70,60,60,70,85,100,85,50,100,50,70,40,1,1,0,1,-1,0,0,1,1,29,12,"White, non-Hispanic","Female",24,0.457
"86","Yes","Clinton",85,0,85,15,2,5,6,7,3,2,2,3,1,1,1,1,4,6,4,100,15,30,70,70,60,60,40,30,60,70,40,40,60,50,70,15,60,70,70,40,0,1,0,0,0,1,0,1,0,36,13,"White, non-Hispanic","Female",26,0.55
"87","Yes","Clinton",85,0,85,0,4,4,6,7,4,2,4,3,2,1,1,2,2,4,2,85,0,30,60,70,50,50,40,15,70,50,30,50,40,50,50,30,60,50,50,40,1,1,1,1,0,0,1,1,1,47,13,"White, non-Hispanic","Female",24,1.638
"88","Yes",NA,60,70,50,50,4,4,1,4,5,3,2,4,4,2,1,2,2,4,2,60,40,85,70,70,60,60,60,70,70,60,60,60,70,85,60,50,85,50,70,60,1,1,1,1,-1,-1,1,1,1,61,9,"White, non-Hispanic","Male",22,1.418
"89","Yes","Clinton",90,0,85,30,2,1,7,7,1,1,4,1,1,1,1,3,2,3,2,95,0,35,95,90,50,100,15,40,60,100,65,50,100,50,80,0,95,100,100,95,0,1,1,1,0,1,1,1,0,26,13,"White, non-Hispanic","Female",12,2.007
"90","Yes","Trump",NA,70,15,50,2,NA,7,NA,1,7,6,5,4,NA,1,2,2,4,4,0,NA,0,15,0,0,50,30,30,NA,0,30,60,0,50,100,15,80,0,50,15,0,1,1,1,0,-1,0,0,1,88,8,"White, non-Hispanic","Male",NA,0.979
"91","Yes","Trump",40,70,70,50,NA,99,2,2,99,99,4,4,1,7,7,4,5,1,7,0,30,50,50,50,50,70,85,50,100,50,40,100,50,50,50,85,55,NA,50,85,-1,0,0,0,0,0,0,0,1,83,3,"Other","Female",1,0.721
"92","Yes",NA,30,30,40,30,3,5,2,6,3,3,2,4,2,1,2,1,2,2,3,30,15,40,60,70,50,60,50,60,60,60,40,40,50,60,60,30,50,60,70,50,1,1,1,1,0,1,1,1,0,51,13,"White, non-Hispanic","Male",27,1.088
"93","Yes","Clinton",70,0,70,70,4,4,4,6,4,99,5,4,4,2,1,1,4,3,4,85,0,40,85,70,85,85,70,60,70,85,50,70,70,70,85,40,85,85,85,85,0,1,1,1,0,1,0,0,0,36,9,"White, non-Hispanic","Male",17,0.9
"94","Yes",NA,70,60,100,0,4,4,4,5,7,2,6,2,1,1,1,3,2,4,NA,40,60,40,100,60,50,70,0,40,50,50,NA,50,60,40,60,50,50,50,50,100,NA,0,NA,-1,-1,NA,NA,1,0,68,11,"White, non-Hispanic","Female",7,0.654
"95",NA,NA,60,40,70,70,5,4,6,7,4,4,6,4,6,4,1,4,4,4,4,40,40,70,30,30,60,60,50,60,70,15,60,50,50,100,50,40,100,15,50,70,0,1,0,1,0,1,1,0,1,23,9,"Hispanic","Male",5,1.165
"96",NA,NA,0,50,40,60,NA,2,4,4,7,4,1,7,4,1,1,4,4,2,1,0,40,50,15,50,50,50,50,50,70,50,40,50,15,50,50,50,100,50,50,0,1,1,0,1,1,1,1,1,0,34,10,"White, non-Hispanic","Female",15,1.024
