idnumber,CNweight,current_democracy,previous_democracy,future_democracy,democracy_fit,national_interest,family_interest,year_schooling,region,gender,education,education_num,occupation,age,vote,election_freefair,secure_feeling,pol_interest,pol_news,internet_use,pol_discuss,contact_highest,contact_high_official,contact_com_leader,contact_influent_non_official,contact_media,oi_gov_resp_voters,oi_gov_employee,oi_media_freedom,oi_individualism,oi_election_necc,oi_multiparty,trust_court,trust_nat_gov,trust_party,trust_local_gov,local_part,petition,protest,regime_capability,system_proud,qg_people_power,qg_equality,qg_speech_freedom,qg_gathering_freedom,qg_responsiveness,local_corruption,defend_system,current_china_influence,future_china_influence
20,0.856105462941635,10,NA,10,8,3,3,6,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working for an outside employer,50,Yes,4,3,2,2,0,1,0,0,0,0,0,1,1,NA,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,2,NA,4,2,3,1,1
21,0.7872015315258817,9,7,10,10,3,3,11,rural,Male,Complete secondary/high school,7,Working in family business,43,Not applicable,NA,3,3,4,5,1,0,0,0,1,0,-2,1,1,1,1,-1,3,4,4,3,2,0,0,3,2,3,2,2,2,2,4,3,1,1
22,1.0728298864528265,8,8,10,6,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,33,Yes,4,3,3,3,4,1,0,1,0,1,0,-1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,3,2,3,2,3,2,3,1,1
23,1.1343538453772095,NA,NA,NA,NA,3,3,8,urban,Female,Incomplete secondary/high school: technical/vocational type,4,Not employed,26,Not applicable,NA,2,3,4,1,0,0,0,0,0,0,NA,-1,-1,1,-1,1,NA,4,4,2,0,0,0,3,3,NA,3,3,NA,3,3,3,NA,NA
24,1.1333441062900562,NA,NA,NA,NA,3,3,4,urban,Male,Incomplete primary/elementary,2,Working in family business,39,Not applicable,NA,3,2,4,0,0,0,1,0,0,0,-2,2,-1,1,2,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,4,4,3,NA,NA
25,0.8316045511811848,10,6,10,8,3,2,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,49,Yes,5,3,3,4,0,1,0,0,0,0,0,1,-1,-2,2,1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,4,3,3,0,1
26,0.9043950891372622,10,9,10,8,3,3,11,urban,Male,Complete secondary/high school,7,Working for an outside employer,59,Yes,4,3,3,2,0,1,0,0,0,0,0,1,1,-1,NA,1,-1,4,4,4,4,0,0,0,3,4,3,3,3,3,4,NA,3,1,1
27,0.8316045511811848,10,4,10,9,NA,2,15,urban,Male,University education completed,9,Working for an outside employer,40,Yes,3,3,2,2,5,1,1,2,0,0,0,1,1,1,1,1,1,2,NA,4,2,1,0,0,3,3,3,2,2,2,3,3,3,0,1
28,0.7872015315258817,NA,NA,NA,8,2,3,7,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,44,Yes,5,3,2,4,0,1,0,0,0,0,0,1,1,-1,1,1,NA,NA,4,4,3,0,0,0,3,4,3,3,3,3,3,NA,3,1,1
30,0.8316045511811848,8,5,10,NA,2,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,40,Yes,5,3,2,3,0,0,0,1,0,0,0,-1,1,-1,1,1,-1,3,4,3,3,0,0,0,3,2,3,2,3,2,3,NA,3,1,1
31,0.8316045511811848,9,8,10,NA,3,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,48,Yes,2,4,3,4,1,1,0,0,0,0,0,-1,1,1,1,1,-1,3,3,3,3,1,0,0,3,3,3,3,3,2,3,2,3,1,1
32,0.8316045511811848,7,8,10,7,3,3,5,urban,Male,Complete primary/elementary,3,Peasant/farmer,49,Yes,4,3,3,4,0,1,0,1,0,1,0,-1,1,-1,1,1,1,3,3,3,3,1,0,0,2,2,3,3,3,2,3,3,3,1,1
33,1.1333441062900562,7,8,10,8,3,3,1,urban,Male,Complete primary/elementary,3,Working for an outside employer,35,Yes,4,3,2,3,0,0,0,1,0,0,0,2,1,1,1,1,-1,3,3,3,3,1,0,0,3,3,3,3,3,2,3,2,3,1,1
34,0.8316045511811848,8,5,10,9,3,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,40,Yes,4,3,3,4,0,1,0,0,0,0,0,1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
35,0.8353769348807448,8,4,10,8,3,2,5,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,67,Yes,3,3,3,4,0,1,0,0,0,0,0,1,-1,2,2,1,-1,NA,3,3,2,0,0,0,3,4,3,2,2,2,3,NA,3,1,1
36,0.9043950891372622,NA,NA,NA,6,3,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,50,Yes,4,3,3,4,0,1,0,1,1,1,0,-1,-1,1,-1,1,1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
37,0.8316045511811848,8,10,10,8,4,4,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,40,Yes,4,3,3,4,5,0,0,1,0,0,0,-2,-2,2,-2,2,-2,3,4,4,4,0,0,0,4,2,2,1,2,2,4,2,3,1,1
38,1.0728298864528265,NA,NA,10,8,3,2,7,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,32,Not applicable,NA,3,2,3,0,0,0,0,0,0,0,-1,1,-1,1,1,-1,NA,4,4,4,0,0,0,3,3,3,2,3,3,3,2,3,NA,NA
39,0.7872015315258817,9,7,10,7,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,46,Yes,4,3,3,4,0,2,0,2,2,2,0,-1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,3,3,2,3,2,4,2,3,NA,NA
40,0.8788030177036141,8,4,10,6,3,3,5,rural,Female,Complete primary/elementary,3,Peasant/farmer,44,Yes,5,3,3,4,0,0,2,2,0,2,0,1,-1,1,1,1,1,4,4,4,4,2,0,0,3,3,3,3,3,2,3,1,2,0,1
41,1.0728298864528265,9,8,10,6,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,38,Yes,4,3,3,4,1,1,0,2,0,2,0,1,1,1,1,1,1,3,4,4,4,0,0,0,3,3,3,3,3,2,3,2,3,1,NA
42,0.7872015315258817,NA,NA,NA,8,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,48,Yes,4,3,3,4,4,1,0,1,0,0,0,1,-1,-1,1,1,-1,NA,4,4,4,0,0,0,3,3,3,3,3,3,3,3,3,1,1
43,0.9618603251328185,10,6,10,9,3,3,12,rural,Male,Complete secondary/high school,7,Working in family business,29,Not applicable,NA,3,2,1,1,1,0,0,0,1,0,1,-1,-1,1,1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,3,2,3,1,1
44,1.1333441062900562,8,4,10,5,3,4,4,urban,Male,Incomplete primary/elementary,2,Working in family business,35,Yes,4,4,3,4,0,1,0,0,0,0,0,-2,-1,-1,1,-1,-1,4,4,4,4,0,0,0,3,3,3,3,3,2,4,2,3,0,1
45,1.1333441062900562,NA,3,NA,5,3,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,38,No,NA,3,2,2,0,1,0,1,0,0,0,-1,-1,1,1,1,-1,4,4,4,3,0,0,0,3,3,NA,3,3,3,3,3,3,NA,NA
46,0.8316045511811848,NA,NA,NA,NA,3,2,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,49,Yes,4,2,2,2,0,1,0,1,0,0,0,1,1,1,1,1,-1,4,4,4,3,0,0,0,NA,3,3,3,NA,NA,4,2,3,NA,1
47,0.8316045511811848,NA,NA,NA,NA,NA,NA,3,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,49,Not applicable,NA,3,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
48,0.9043950891372622,6,NA,10,8,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,56,No,5,3,2,3,0,0,0,0,0,0,0,-1,1,-1,1,-1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,2,NA,NA,NA
49,0.8316045511811848,10,6,10,10,3,3,5,urban,Male,Complete primary/elementary,3,Working for an outside employer,42,Yes,5,3,3,4,0,2,0,2,2,2,0,-1,1,1,-1,1,-1,3,3,3,3,2,0,0,3,3,3,2,3,3,4,3,3,1,1
50,0.9043950891372622,7,6,8,8,3,3,12,urban,Male,Complete secondary/high school,7,Working in family business,50,Yes,5,3,4,4,0,2,0,0,0,0,0,1,1,1,1,-1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,4,2,2,0,1
51,0.8316045511811848,8,6,10,7,3,3,5,urban,Male,Complete primary/elementary,3,Working in family business,44,Not applicable,NA,3,2,3,0,0,0,2,2,2,0,1,1,-1,1,1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,2,2,0,1
52,1.265223936713798,8,6,10,10,3,3,3,urban,Female,Incomplete primary/elementary,2,Not employed,38,Not applicable,NA,3,1,2,0,1,0,1,0,0,0,2,1,-2,2,2,2,3,NA,3,2,0,0,0,3,NA,3,3,3,3,3,2,3,1,1
53,0.9043950891372622,8,4,9,7,4,3,5,urban,Male,Complete primary/elementary,3,Peasant/farmer,59,No,2,3,3,4,0,1,0,1,0,0,0,-1,-2,2,-2,2,-2,1,4,4,2,0,0,0,3,3,3,2,2,3,3,3,3,1,1
54,0.9043950891372622,NA,NA,NA,NA,4,4,11,urban,Male,Complete secondary/high school,7,Working for an outside employer,50,NA,5,3,4,4,0,1,2,2,0,0,0,-1,NA,-1,NA,1,NA,NA,4,4,4,0,0,0,3,3,3,3,3,2,NA,NA,3,1,1
55,0.8353769348807448,NA,NA,NA,NA,3,3,0,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,65,Yes,5,4,3,4,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,4,4,3,0,0,0,NA,3,3,3,3,3,4,NA,4,0,0
56,0.8353769348807448,7,5,10,10,3,3,5,urban,Male,Complete primary/elementary,3,Peasant/farmer,61,Yes,5,4,4,4,0,2,0,0,0,0,0,-1,-1,-1,1,-1,-1,3,3,3,2,0,0,0,3,3,3,3,3,3,4,2,NA,1,1
57,0.8316045511811848,7,3,9,10,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,44,No,2,3,3,4,0,1,0,2,2,2,0,1,1,1,1,NA,-1,3,3,3,2,0,0,0,3,3,3,3,3,3,4,2,3,0,1
58,1.0161151775589086,5,4,8,8,3,3,15,urban,Male,University education completed,9,Not employed,20,Not applicable,NA,3,3,4,5,2,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,0,0,0,3,2,3,3,2,3,3,3,3,0,1
59,1.0161151775589086,8,9,9,8,3,3,16,urban,Male,University education completed,9,Working for an outside employer,28,Not applicable,NA,2,2,4,0,1,0,1,1,1,0,-1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,3,3,3,2,3,3,3,0,0
60,0.8316045511811848,10,NA,10,10,3,3,3,urban,Male,Incomplete primary/elementary,2,Working in family business,44,No,4,4,2,3,0,1,0,0,0,0,0,1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,2,3,NA,3,0,1
61,0.9043950891372622,10,5,10,8,3,2,0,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,56,Yes,4,3,3,4,0,2,0,2,1,1,0,1,1,1,1,2,-1,4,4,4,3,0,0,0,3,3,3,3,3,NA,4,3,3,1,1
63,0.8353769348807448,10,7,NA,10,4,2,2,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,67,Yes,4,4,3,4,0,1,1,2,2,2,0,2,1,1,1,2,-2,4,4,4,3,0,0,0,3,4,3,3,3,NA,4,2,3,1,1
64,0.7907724910902311,NA,NA,NA,NA,3,3,1,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,70,Not applicable,NA,3,3,2,0,0,0,0,0,0,0,-1,-1,NA,1,-1,NA,2,4,4,2,0,0,0,3,3,3,3,3,3,4,3,NA,NA,NA
65,0.8353769348807448,NA,NA,NA,NA,3,3,0,urban,Male,Incomplete primary/elementary,2,Not employed,80,Not applicable,NA,3,3,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,3,3,3,3,NA,NA,NA,NA,NA
66,0.8353769348807448,10,10,10,8,4,3,0,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,65,NA,NA,3,3,4,0,2,0,2,0,0,0,-1,-1,2,2,-1,-2,3,4,4,4,0,0,0,4,4,2,3,3,3,4,1,4,NA,NA
67,0.9043950891372622,8,6,9,7,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,57,Not applicable,NA,3,4,2,0,2,1,1,0,1,0,1,-1,-1,1,1,-1,3,4,4,3,1,0,0,3,3,3,3,3,3,4,2,3,0,0
68,0.8827895064432449,9,6,10,10,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,61,No,5,4,3,0,0,0,0,0,0,0,0,-1,-1,NA,1,1,-1,3,3,4,2,0,0,0,3,3,NA,3,NA,3,NA,NA,NA,1,1
69,0.8827895064432449,9,7,10,9,3,2,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Not employed,64,Not applicable,5,3,2,0,1,0,0,1,0,1,0,-1,-1,-1,1,1,1,4,4,4,3,0,0,0,3,3,3,3,3,3,4,1,2,0,NA
70,0.7907724910902311,7,6,8,5,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Not employed,60,Yes,4,4,3,4,0,2,2,2,0,0,0,1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,2,3,1,1
71,1.0728298864528265,3,1,5,1,2,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,38,Yes,4,3,2,4,1,1,0,0,0,0,0,1,-1,-1,1,NA,1,3,4,4,3,0,0,0,3,3,3,2,3,2,3,3,3,0,1
72,0.9618603251328185,8,5,10,6,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,26,Yes,2,3,3,3,0,2,1,1,1,1,0,1,-1,-1,1,1,-1,3,4,4,2,1,0,0,3,3,3,3,3,3,4,3,3,0,NA
73,0.7907724910902311,NA,NA,NA,NA,NA,NA,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,79,Not applicable,NA,3,NA,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,4,4,3,0,0,0,NA,NA,NA,3,3,3,3,NA,NA,NA,NA
75,0.856105462941635,NA,6,10,8,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,56,Not applicable,NA,3,3,3,0,1,0,2,0,0,0,1,1,1,1,1,-1,4,4,4,3,0,0,0,3,3,3,3,3,3,3,NA,3,NA,NA
76,0.856105462941635,NA,6,10,8,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,50,NA,4,3,2,2,0,0,0,0,0,0,0,1,1,NA,1,1,-1,4,4,4,4,0,0,0,3,3,NA,3,3,3,4,NA,NA,1,1
77,0.7907724910902311,8,8,10,6,3,2,6,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Not employed,67,Not applicable,NA,3,3,4,0,2,1,2,0,0,0,1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,2,2,3,2,4,2,3,1,1
79,1.0728298864528265,7,6,10,5,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,39,Not applicable,NA,3,2,4,0,2,0,1,0,0,0,-1,-1,1,1,1,-1,4,4,4,4,0,1,0,3,3,3,3,3,2,3,2,2,0,0
80,0.7907724910902311,7,6,8,9,4,4,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,60,Not applicable,NA,3,2,2,0,0,0,2,0,0,0,1,-1,1,-1,1,-1,3,4,4,3,2,2,0,3,3,3,3,3,3,3,2,3,0,1
81,0.7872015315258817,10,6,10,8,3,3,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,45,Yes,5,4,3,2,0,1,0,1,1,1,0,1,-1,1,1,2,-2,4,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,1,1
82,0.856105462941635,5,5,10,5,2,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,51,No,3,3,3,4,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,3,3,3,3,0,0,0,NA,3,3,2,3,3,3,3,3,NA,NA
83,1.0728298864528265,7,7,9,8,3,4,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,35,Yes,3,4,2,3,0,1,0,1,2,1,0,-1,-1,2,2,-2,-2,3,3,3,3,0,1,0,3,3,3,3,3,3,3,3,3,0,0
84,0.8788030177036141,NA,NA,NA,8,3,3,1,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,41,Not applicable,NA,3,3,1,0,2,0,2,0,2,0,NA,NA,NA,1,NA,NA,3,3,3,3,0,0,0,NA,NA,3,3,3,3,3,3,NA,NA,NA
85,0.9043950891372622,9,2,9,9,3,3,11,urban,Male,Complete secondary/high school,7,Working for an outside employer,59,Yes,4,3,3,4,1,1,0,2,0,0,0,1,1,1,1,1,1,3,3,3,3,0,0,0,3,3,3,NA,3,3,3,3,3,0,1
86,0.856105462941635,10,7,10,9,3,3,2,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,58,Yes,4,3,3,4,0,1,0,2,0,0,0,-1,NA,-1,-1,1,-2,2,4,4,2,0,0,0,NA,4,4,2,3,NA,3,2,4,NA,NA
87,0.7872015315258817,8,7,10,8,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,41,Yes,4,3,3,3,0,2,0,2,2,2,0,1,1,-1,1,-1,-1,3,3,3,3,2,0,0,2,2,3,3,3,3,3,3,3,0,0
88,0.856105462941635,10,NA,10,7,3,3,5,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,58,Yes,4,3,3,3,0,1,0,2,0,0,0,-1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,4,2,2,3,NA,3,2,3,0,NA
89,0.856105462941635,NA,NA,10,8,3,3,5,rural,Male,Complete primary/elementary,3,Working in family business,52,Yes,2,3,3,4,0,1,0,2,0,0,0,1,1,1,1,1,-1,2,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,NA,NA
90,0.7872015315258817,10,10,10,6,3,2,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,42,Yes,4,4,4,4,0,2,0,2,0,0,0,-1,1,1,-1,1,-1,3,4,4,3,0,0,0,3,3,3,2,2,NA,3,2,4,0,1
91,0.7872015315258817,10,9,10,8,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,48,Yes,4,3,3,4,0,1,0,2,0,0,0,-1,1,-1,1,1,1,3,4,4,3,0,0,1,3,3,3,2,3,3,3,2,3,0,1
92,0.7907724910902311,10,6,10,8,3,3,4,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,67,Yes,5,4,3,4,0,1,0,1,0,0,0,-1,-1,-1,1,2,-2,3,4,4,3,0,0,0,3,3,3,3,NA,NA,4,2,3,1,1
93,0.7872015315258817,8,NA,10,10,2,NA,1,rural,Male,NA,NA,Working in family business,49,Yes,5,4,2,3,0,1,0,2,0,0,0,1,-1,NA,1,1,-1,NA,4,4,NA,0,0,0,3,3,3,NA,3,3,3,2,NA,1,1
94,0.856105462941635,8,8,10,8,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,53,Not applicable,NA,3,3,4,2,1,0,2,0,0,0,-1,-1,1,-1,1,-2,3,4,4,3,0,0,0,3,3,2,2,3,3,3,2,3,1,1
95,1.0737857111350257,9,7,10,5,3,3,9,rural,Female,Complete secondary/high school: technical/vocational type,5,Working in family business,25,Yes,5,4,2,2,5,1,0,2,0,0,0,-1,-1,-1,1,1,1,3,3,3,4,0,0,0,3,3,3,3,3,3,3,2,3,0,1
96,0.856105462941635,NA,NA,NA,NA,NA,NA,2,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,54,Not applicable,NA,3,2,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,4,4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.9618603251328185,8,7,10,5,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,22,No,4,3,3,4,4,1,0,0,0,0,0,1,-1,-1,1,1,-1,3,3,3,2,2,0,0,3,3,3,2,3,3,3,3,3,0,0
98,0.7872015315258817,7,8,10,7,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,49,Yes,4,3,3,3,0,0,0,2,0,0,0,-1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,3,2,3,2,3,1,3,0,1
99,0.7872015315258817,9,5,10,9,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,48,Yes,4,3,2,3,0,1,0,2,0,0,0,1,-1,-1,1,1,-1,4,3,3,4,0,0,0,3,3,3,3,3,3,3,1,3,1,1
100,0.8827895064432449,NA,NA,NA,8,3,3,5,rural,Female,Complete primary/elementary,3,Not applicable,60,Yes,2,3,2,2,0,1,0,0,0,0,0,-1,-1,1,1,NA,-1,3,3,3,3,0,0,0,NA,NA,3,2,3,3,3,2,3,NA,NA
101,0.8353769348807448,8,5,10,8,3,4,11,urban,Male,Complete secondary/high school,7,Not employed,72,Yes,4,4,3,4,0,1,0,0,0,0,0,-2,1,-1,-1,1,-1,NA,3,3,3,0,0,0,3,3,2,NA,2,NA,3,2,3,0,1
102,1.1333441062900562,8,5,10,4,2,4,7,urban,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,39,Yes,4,4,3,4,5,1,0,0,0,0,0,-1,1,1,1,1,1,3,4,4,3,0,0,0,3,3,3,2,3,3,3,2,3,1,1
103,0.8353769348807448,10,7,10,10,4,4,0,urban,Male,Incomplete primary/elementary,2,Peasant/farmer,76,No,5,3,4,4,0,1,0,2,0,1,0,2,-1,-1,1,2,-1,4,4,4,4,1,0,0,3,4,NA,3,3,2,4,2,NA,NA,NA
104,1.1333441062900562,7,3,9,5,4,4,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,32,NA,5,4,2,3,1,1,2,2,0,0,0,-1,-1,-1,-1,-1,-1,4,4,4,3,0,0,0,3,3,3,3,3,2,4,2,2,1,1
105,0.8316045511811848,9,7,10,9,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,41,No,5,3,3,3,0,1,0,0,0,0,0,-1,-1,1,1,1,1,4,4,4,4,0,0,0,3,3,3,3,3,3,3,1,3,0,NA
106,0.8316045511811848,NA,NA,NA,NA,3,3,6,urban,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,49,Yes,5,3,3,4,0,1,0,0,0,0,0,-1,-1,2,2,-1,-1,4,4,4,3,0,0,0,3,3,3,3,NA,NA,4,3,3,NA,NA
